county,lat,lon,month,ghi,dni,temp_air,median_income,county_fips,land_area_sqkm
Matagorda,28.8027,-95.9738,12,124.0421370967742,158.03423387096774,14.56861559139785,56412,48321,2857
Maverick,28.7358,-100.4349,1,156.84608870967742,243.56903225806454,15.229206989247313,48497,48323,3294
Maverick,28.7358,-100.4349,2,188.28849702380953,229.73178571428573,16.009241071428573,48497,48323,3294
Maverick,28.7358,-100.4349,3,196.0058198924731,185.4776612903226,21.280389784946237,48497,48323,3294
Maverick,28.7358,-100.4349,4,226.53293055555554,182.6632361111111,23.725805555555556,48497,48323,3294
Maverick,28.7358,-100.4349,5,229.45325268817206,165.02616935483871,26.02717741935484,48497,48323,3294
Maverick,28.7358,-100.4349,6,306.8404722222222,298.4364166666667,31.484569444444443,48497,48323,3294
Maverick,28.7358,-100.4349,7,303.45701612903224,303.27630376344086,32.97376344086022,48497,48323,3294
Maverick,28.7358,-100.4349,8,294.7982795698925,324.31583333333333,33.268400537634406,48497,48323,3294
Maverick,28.7358,-100.4349,9,260.619125,300.67204166666664,31.675125,48497,48323,3294
Maverick,28.7358,-100.4349,10,156.11733870967743,143.0380510752688,24.15954301075269,48497,48323,3294
Maverick,28.7358,-100.4349,11,129.03019444444445,157.46145833333333,16.636166666666668,48497,48323,3294
Maverick,28.7358,-100.4349,12,134.78860215053763,202.24283602150538,14.258252688172043,48497,48323,3294
McLennan,31.5493,-97.1467,1,126.68310483870967,188.78612903225806,10.931465053763441,59781,48309,2699
McLennan,31.5493,-97.1467,2,152.96197916666665,181.41931547619046,11.301398809523809,59781,48309,2699
McLennan,31.5493,-97.1467,3,184.0861424731183,163.50448924731182,16.87497311827957,59781,48309,2699
McLennan,31.5493,-97.1467,4,208.43312500000002,179.47916666666666,18.767819444444445,59781,48309,2699
McLennan,31.5493,-97.1467,5,233.14825268817202,144.5088440860215,23.179784946236555,59781,48309,2699
McLennan,31.5493,-97.1467,6,282.0344166666667,250.8455277777778,29.169916666666666,59781,48309,2699
McLennan,31.5493,-97.1467,7,299.07447580645163,282.3465188172043,33.12922043010752,59781,48309,2699
McLennan,31.5493,-97.1467,8,293.7194489247312,310.1275268817204,34.5357123655914,59781,48309,2699
McLennan,31.5493,-97.1467,9,228.94466666666668,247.4991527777778,29.672111111111107,59781,48309,2699
McLennan,31.5493,-97.1467,10,171.30103494623657,195.24081989247313,21.407056451612902,59781,48309,2699
McLennan,31.5493,-97.1467,11,126.2743611111111,162.26609722222221,14.089930555555556,59781,48309,2699
McLennan,31.5493,-97.1467,12,131.4249865591398,226.4958870967742,11.048373655913979,59781,48309,2699
Midland,31.9974,-102.0779,1,147.0207392473118,223.13381720430107,8.13268817204301,90123,48329,2334
Midland,31.9974,-102.0779,2,183.8092113095238,251.611875,8.574568452380952,90123,48329,2334
